Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-08-04,50.45,50.65,48.8,48.8
2024-08-11,47.26,47.85,46.93,47.7
2024-08-18,49.12,50.66,49.12,50.66
2024-08-25,50.75,50.75,50.06,50.21
2024-09-01,50.11,50.6,49.98,50.6
2024-09-08,51.33,51.33,48.65,48.65
2024-09-15,48.82,49.07,47.74,49.07
2024-09-22,48.64,49.81,48.64,48.84
2024-09-29,48.96,50.88,48.96,50.88
2024-10-06,49.98,49.98,49.04,49.35
2024-10-13,49.34,50.01,49.19,50.01
2024-10-20,49.96,50.1,49.16,49.58
2024-10-27,49.29,49.29,48.56,48.58
2024-11-03,48.64,49.16,47.86,47.86
2024-11-10,48.57,49.64,48.19,49.5
2024-11-17,48.84,48.84,47.93,47.93
2024-11-24,47.84,48.14,46.71,48.14
2024-12-01,48.21,48.21,47.84,48.05
2024-12-08,49.02,49.96,48.88,49.93
2024-12-15,49.98,50.03,49.36,49.36
2024-12-22,49.32,49.32,47.99,47.99
2024-12-29,48.07,48.14,48.07,48.14
2025-01-05,47.95,49.05,47.95,49.05
2025-01-12,49.61,49.61,49.05,49.59
2025-01-19,48.8,50.34,48.8,50.34
2025-01-26,50.68,51.53,50.68,51.53
2025-02-02,51.36,52.58,51.36,52.37
2025-02-09,51.52,53.49,51.49,53.49
2025-02-16,53.91,55.26,53.91,54.92
2025-02-23,55.32,56.5,55.32,55.62
2025-03-02,54.7,55.78,54.7,54.98
2025-03-09,55.15,55.59,53.19,55.59
2025-03-16,54.83,57.23,54.69,57.23
2025-03-23,57.84,58.21,57.2,57.2
2025-03-30,57.91,58.47,57.51,57.51
2025-04-06,56.52,57.58,52.82,52.82
2025-04-13,52.14,54.18,52.14,53.92
2025-04-20,55.32,55.95,55.32,55.95
2025-04-27,56.87,58.76,56.87,58.76
2025-05-04,58.92,59.37,58.04,59.37
2025-05-11,59.1,60.75,58.46,60.75
2025-05-18,60.91,61.23,60.29,60.29
2025-05-25,59.91,59.95,58.51,58.51
2025-06-01,59.77,60.49,59.29,59.29
