Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-08-04,52.27,52.79,50.37,50.37
2024-08-11,49.14,50.34,49.14,50.34
2024-08-18,50.85,52.5,50.85,52.5
2024-08-25,52.9,52.9,52.46,52.65
2024-09-01,52.44,52.63,52.15,52.63
2024-09-08,52.72,52.72,50.23,50.23
2024-09-15,50.48,51.72,50.45,51.72
2024-09-22,51.62,52.61,51.62,52.06
2024-09-29,52.21,53.3,52.21,53.3
2024-10-06,53.11,53.11,52.51,53.08
2024-10-13,52.92,53.47,52.92,53.47
2024-10-20,53.77,53.77,53.07,53.27
2024-10-27,53.28,53.28,52.47,52.89
2024-11-03,53.03,53.27,52.14,52.14
2024-11-10,52.55,54.31,52.55,54.19
2024-11-17,54.16,54.16,53.31,53.31
2024-11-24,53.33,53.75,53.24,53.75
2024-12-01,53.83,53.96,53.6,53.96
2024-12-08,54.41,55.27,54.41,55.27
2024-12-15,55.05,55.5,54.88,54.89
2024-12-22,55.03,55.03,53.51,53.62
2024-12-29,53.96,53.96,53.89,53.89
2025-01-05,53.56,54.54,53.56,54.54
2025-01-12,54.9,54.9,54.19,54.19
2025-01-19,53.64,54.97,53.64,54.97
2025-01-26,55.01,55.76,55.01,55.67
2025-02-02,54.57,55.25,54.57,54.99
2025-02-09,54.38,55.44,54.38,55.3
2025-02-16,55.84,56.43,55.84,56.38
2025-02-23,56.53,56.93,55.97,55.97
2025-03-02,55.66,55.71,54.82,55.05
2025-03-09,54.21,54.27,53.47,53.7
2025-03-16,52.46,53.46,52.46,53.46
2025-03-23,53.8,53.89,53.51,53.71
2025-03-30,54.49,54.75,52.54,52.54
2025-04-06,52.25,52.9,48.31,48.31
2025-04-13,48.19,50.81,48.19,50.61
2025-04-20,51.09,51.19,50.3,50.3
2025-04-27,50.32,52.91,50.32,52.91
2025-05-04,52.8,54.21,52.8,54.21
2025-05-11,54.02,54.73,53.73,54.73
2025-05-18,56.08,56.84,56.08,56.77
2025-05-25,56.8,56.8,55.63,55.63
2025-06-01,55.92,56.73,55.92,56.45
