Rp_FIO_PL_P;Rp_SFIO_PL_P;Rp_FIO_Z_P;Rp_SFIO_Z_P;Rl_FIO_PL_P;Rl_SFIO_PL_P;Rl_FIO_Z_P;Rl_SFIO_Z_P;Rf_P;Rm_FIO_PL_P;Rm_SFIO_PL_P;Rm_FIO_Z_P;Rm_SFIO_Z_P;Rw_FIO_PL_P;Rw_SFIO_PL_P;Rw_FIO_Z_P;Rw_SFIO_Z_P;Rw_WIG_P;Rw_MSCI_P;Rl_WIG_P;Rl_MSCI_P;Rt+_FIO_PL_P;Rt+_SFIO_PL_P;Rt+_FIO_Z_P;Rt+_SFIO_Z_P;Rp_FIO_PL_W;Rp_SFIO_PL_W;Rp_FIO_Z_W;Rp_SFIO_Z_W;Rl_FIO_PL_W;Rl_SFIO_PL_W;Rl_FIO_Z_W;Rl_SFIO_Z_W;Rf_W;Rm_FIO_PL_W;Rm_SFIO_PL_W;Rm_FIO_Z_W;Rm_SFIO_Z_W;Rw_FIO_PL_W;Rw_SFIO_PL_W;Rw_FIO_Z_W;Rw_SFIO_Z_W;Rw_WIG_W;Rw_MSCI_W;Rl_WIG_W;Rl_MSCI_W;Rt+_FIO_PL_W;Rt+_SFIO_PL_W;Rt+_FIO_Z_W;Rt+_SFIO_Z_W;FIO_PL;SFIO_PL;FIO_Z;SFIO_Z;FIO_PL_C;SFIO_PL_C;FIO_Z_C;SFIO_Z_C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,855249745;1,847542325;1,325178389;-0,097239402;1,872675366;1,864822559;1,198944547;-0,097192155;0,423478231;1,986659431;1,986659431;-0,836614936;-0,836614936;0;0;0;-0,097192155;1,986659431;-0,836614936;1,986659431;-0,836614936;1,872675366;1,864822559;1,198944547;0;0;0;0;0;48,8;2171,35;50,37;1318,71
-2,306079665;-2,202819421;-0,062893082;-2,329497397;-2,279891496;-2,178907869;-0,059577005;-2,30277875;1,001742147;-2,537344806;-2,537344806;0,414193606;0,414193606;-2,279891496;-2,178907869;-0,059577005;-2,30277875;-2,537344806;0;-2,537344806;0,414193606;0;0;0;0;1,08892922;0,915989037;-0,705787457;0,160615622;1,094901449;0,920210012;-0,643798784;0,160744747;1,925228962;0,935987727;0,935987727;-1,57496905;-1,57496905;0;0;-0,643798784;0;0,935987727;-1,57496905;0,935987727;-1,57496905;1,094901449;0,920210012;0;0,160744747;-2,279891496;-2,178907869;-0,059577005;-2,30277875;47,7;2124,55;50,34;1288,69
5,842874062;5,502897784;4,26371891;3,051344743;6,020524668;5,660101634;4,201317989;3,098867488;1,861048775;6,195222684;6,195222684;3,90899912;3,90899912;0;0;0;0;0;0;6,195222684;3,90899912;6,020524668;5,660101634;4,201317989;3,098867488;1,489868892;1,402946142;1,549463647;0,236436924;1,501078921;1,412880456;1,429119229;0,236716877;-2,416630442;1,767455116;1,767455116;3,017923316;3,017923316;0;0;0;0;1,767455116;3,017923316;1,767455116;3,017923316;1,501078921;1,412880456;1,429119229;0,236716877;6,020524668;5,660101634;4,201317989;3,098867488;50,66;2248,27;52,5;1329,25
-0,89623581;-1,147672263;0,29874527;1,971268013;-0,892243453;-1,141136464;0,285306898;1,990956674;-0,301488828;-0,630636301;-0,630636301;1,967964854;1,967964854;-0,892243453;-1,141136464;0;0;-0,630636301;0;-0,630636301;1,967964854;0;0;0,285306898;1,990956674;2,309334368;2,498867714;1,358431981;2,509841495;2,336417263;2,530619486;1,265382032;2,541875149;0,49140148;2,553696758;2,553696758;2,105858474;2,105858474;0;0;0;0;2,553696758;2,105858474;2,553696758;2,105858474;2,336417263;2,530619486;1,265382032;2,541875149;-0,892243453;-1,141136464;0,285306898;1,990956674;50,21;2222,76;52,65;1355,98
0,770750988;0,766541812;-0,039525692;0,499710153;0,773736625;0,769494844;-0,037993921;0,50096288;2,294662757;0,840014836;0,840014836;-0,407898157;-0,407898157;0;0;-0,037993921;0;0;-0,407898157;0,840014836;-0,407898157;0,773736625;0,769494844;0;0,50096288;1,60397174;1,436659498;-1,298453313;-0,509410131;1,616974595;1,44707937;-1,229005168;-0,508117027;-1,412909708;1,762997622;1,762997622;0,024322024;0,024322024;0;0;-1,229005168;-0,508117027;1,762997622;0,024322024;1,762997622;0,024322024;1,616974595;1,44707937;0;0;0,773736625;0,769494844;-0,037993921;0,50096288;50,6;2239,93;52,63;1362,79
-4,008221994;-3,766758392;-4,9331963;-1,892364746;-3,929976766;-3,697548675;-4,66738416;-1,874682254;-3,071402477;-3,750189177;-3,750189177;-3,477457225;-3,477457225;-3,929976766;-3,697548675;-4,66738416;-1,874682254;-3,750189177;-3,477457225;-3,750189177;-3,477457225;0;0;0;0;2,093849318;2,219023076;0,579547579;0,3754093;2,116081225;2,244013784;0,562155801;0,37611573;-0,550113129;2,019775352;2,019775352;-1,043034228;-1,043034228;0;0;0;0;2,019775352;-1,043034228;2,019775352;-1,043034228;2,116081225;2,244013784;0,562155801;0,37611573;-3,929976766;-3,697548675;-4,66738416;-1,874682254;48,65;2158,62;50,23;1337,48
0,855920114;0,838359663;3,0364785;1,302458067;0,859604147;0,841893663;2,923209614;1,311014428;-0,133219165;0,680429369;0,680429369;3,259810336;3,259810336;0;0;0;0;0;0;0,680429369;3,259810336;0,859604147;0,841893663;2,923209614;1,311014428;2,603787327;2,414469615;1,966496723;0,181811873;2,638286036;2,444095782;1,934157716;0,181977352;-0,952635593;2,916020017;2,916020017;1,552434966;1,552434966;0;0;0;0;2,916020017;1,552434966;2,916020017;1,552434966;2,638286036;2,444095782;1,934157716;0,181977352;0,859604147;0,841893663;2,923209614;1,311014428;49,07;2176,87;51,72;1355,13
-0,470925471;-0,826763995;0,696150696;1,613957135;-0,469820086;-0,823365023;0,655234566;1,62712328;1,961216924;-0,661787643;-0,661787643;2,070110149;2,070110149;-0,469820086;-0,823365023;0;0;-0,661787643;0;-0,661787643;2,070110149;0;0;0,655234566;1,62712328;1,258540093;1,432372094;-0,737144912;0,03537834;1,266526791;1,442729567;-0,729865278;0,0353846;2,390278016;1,43798069;1,43798069;-0,582384563;-0,582384563;0;0;-0,729865278;0;1,43798069;-0,582384563;1,43798069;-0,582384563;1,266526791;1,442729567;0;0,0353846;-0,469820086;-0,823365023;0,655234566;1,62712328;48,84;2159,02;52,06;1377,36
4,009433962;3,837125919;2,437106918;1,042482416;4,092026979;3,912682712;2,353943161;1,047954326;-2,190006347;3,824518981;3,824518981;1,625776706;1,625776706;0;0;0;0;0;0;3,824518981;1,625776706;4,092026979;3,912682712;2,353943161;1,047954326;-1,164059658;-0,959045927;-1,673335758;-3,714575554;-1,157336607;-0,954476275;-1,657396973;-3,647247438;-2,199023502;-1,211247591;-1,211247591;-2,97226836;-2,97226836;-1,157336607;-0,954476275;-1,657396973;-3,647247438;-1,211247591;-2,97226836;-1,211247591;-2,97226836;0;0;0;0;4,092026979;3,912682712;2,353943161;1,047954326;50,88;2245,17;53,3;1391,87
-3,100303951;-3,10911287;-0,445795339;-1,468218964;-3,053215315;-3,061758978;-0,413612171;-1,457544981;3,174869831;-3,517809177;-3,517809177;-1,378515635;-1,378515635;-3,053215315;-3,061758978;-0,413612171;-1,457544981;-3,517809177;-1,378515635;-3,517809177;-1,378515635;0;0;0;0;1,097319662;1,061375917;-2,428494334;-1,330485244;1,103384623;1,067048687;-2,482886165;-1,321712021;3,532489121;1,740699807;1,740699807;-1,940825413;-1,940825413;0;0;-2,482886165;-1,321712021;1,740699807;-1,940825413;1,740699807;-1,940825413;1,103384623;1,067048687;0;0;-3,053215315;-3,061758978;-0,413612171;-1,457544981;49,35;2177,47;53,08;1371,73
