Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-08-04,2236.17,2241.77,2171.35,2171.35
2024-08-11,2102.36,2130.07,2088.98,2124.55
2024-08-18,2187,2248.27,2182.87,2248.27
2024-08-25,2249.15,2249.15,2219.68,2222.76
2024-09-01,2219.16,2239.93,2215.49,2239.93
2024-09-08,2272.61,2272.61,2158.62,2158.62
2024-09-15,2166.25,2176.87,2119.17,2176.87
2024-09-22,2156.03,2203.82,2156.03,2159.02
2024-09-29,2164.41,2245.17,2164.41,2245.17
2024-10-06,2210.26,2210.26,2166.84,2177.47
2024-10-13,2176.34,2207.98,2171.14,2207.98
2024-10-20,2207.71,2216.55,2172.3,2192.85
2024-10-27,2178.96,2178.96,2144.32,2144.75
2024-11-03,2145.4,2167.72,2116.12,2116.12
2024-11-10,2148.14,2198.94,2132.91,2193.72
2024-11-17,2164.27,2165.3,2128.72,2128.72
2024-11-24,2123.91,2137.37,2072.44,2137.37
2024-12-01,2138.68,2138.68,2124.87,2131.34
2024-12-08,2172.86,2217.35,2167.39,2217.35
2024-12-15,2221.6,2224.13,2200.98,2200.98
2024-12-22,2196.79,2196.79,2143.77,2143.77
2024-12-29,2144.65,2146.82,2144.65,2146.82
2025-01-05,2139.85,2187.23,2139.85,2187.23
2025-01-12,2210.56,2210.56,2187.58,2207.45
2025-01-19,2174.02,2238.86,2174.02,2238.86
2025-01-26,2254.24,2296.24,2254.24,2296.24
2025-02-02,2287.2,2336.77,2287.2,2329.71
2025-02-09,2294.02,2382.58,2292.26,2382.58
2025-02-16,2398.91,2456.62,2398.91,2441.53
2025-02-23,2457.63,2511.91,2457.63,2477.01
2025-03-02,2439.35,2487.26,2439.35,2453.48
2025-03-09,2462.2,2479.8,2378.92,2479.8
2025-03-16,2448.47,2551.86,2443.08,2551.86
2025-03-23,2580.59,2597.24,2562.12,2562.12
2025-03-30,2591.68,2618.91,2581.69,2581.69
2025-04-06,2544.42,2592.68,2386.51,2386.51
2025-04-13,2357.05,2444.85,2357.05,2431.11
2025-04-20,2490.65,2515.35,2490.65,2515.35
2025-04-27,2554.91,2625.92,2554.91,2625.92
2025-05-04,2630.87,2644.63,2593.56,2644.63
2025-05-11,2636.72,2715.07,2616.81,2715.07
2025-05-18,2718.94,2731.45,2702.52,2702.54
2025-05-25,2688.34,2692.62,2639.99,2639.99
2025-06-01,2692.49,2722.78,2671.39,2671.39
