Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-08-04,1315.66,1331.39,1310.12,1318.71
2024-08-11,1293.35,1293.35,1256.45,1288.69
2024-08-18,1299.17,1329.25,1299.17,1329.25
2024-08-25,1348.45,1363.68,1348.45,1355.98
2024-09-01,1368.63,1368.63,1362.79,1362.79
2024-09-08,1372.75,1372.75,1337.48,1337.48
2024-09-15,1319.99,1355.13,1319.99,1355.13
2024-09-22,1363.13,1377.36,1358.06,1377.36
2024-09-29,1374.54,1391.87,1374.54,1391.87
2024-10-06,1388.19,1388.19,1371.73,1371.73
2024-10-13,1377.03,1392.41,1373.33,1390.99
2024-10-20,1398.79,1406.24,1395.95,1400.49
2024-10-27,1401.39,1401.39,1378.64,1380.54
2024-11-03,1382.09,1384.73,1378.84,1378.84
2024-11-10,1356.38,1412.39,1356.38,1412.39
2024-11-17,1411.27,1411.27,1396.53,1396.53
2024-11-24,1376.59,1389.65,1376.59,1389.65
2024-12-01,1395.46,1407.27,1395.46,1405.47
2024-12-08,1413.55,1431.67,1413.55,1429.27
2024-12-15,1432.19,1432.19,1418.96,1424.74
2024-12-22,1423.25,1426.49,1381.28,1381.28
2024-12-29,1391.01,1399.97,1391.01,1399.97
2025-01-05,1401.56,1401.56,1384.89,1398.61
2025-01-12,1408.28,1408.28,1396.61,1400.86
2025-01-19,1380.14,1404.18,1378.9,1404.18
2025-01-26,1413.99,1440.33,1413.76,1440.33
2025-02-02,1437.92,1437.92,1412.64,1433.03
2025-02-09,1429.2,1438.43,1418.22,1438.43
2025-02-16,1428.43,1441.05,1428.43,1441.05
2025-02-23,1444.53,1448.51,1441.56,1441.56
2025-03-02,1420.43,1420.43,1389.93,1389.93
2025-03-09,1405.61,1405.61,1371.68,1371.68
2025-03-16,1374.72,1374.72,1324.78,1324.78
2025-03-23,1347.03,1358.79,1347.03,1355.91
2025-03-30,1355.76,1372.85,1355.76,1356.87
2025-04-06,1337.04,1347.04,1301.47,1301.47
2025-04-13,1231.26,1270.93,1204.06,1256.77
2025-04-20,1273.21,1289.5,1268.99,1268.99
2025-04-27,1268.07,1305.03,1268.07,1305.03
2025-05-04,1311.64,1327.49,1311.64,1327.49
2025-05-11,1348.51,1348.51,1336.68,1337.52
2025-05-18,1338.13,1382.11,1338.13,1382.11
2025-05-25,1387.72,1392.76,1379.5,1379.5
2025-06-01,1371.99,1394.05,1371.99,1387.03
