Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2024-08-04,5.619,5.619,5.157,5.165
2024-08-11,5.123,5.271,5.058,5.217
2024-08-18,5.236,5.318,5.127,5.315
2024-08-25,5.312,5.402,5.219,5.299
2024-09-01,5.293,5.576,5.229,5.422
2024-09-08,5.448,5.472,5.2,5.258
2024-09-15,5.29,5.31,5.188,5.251
2024-09-22,5.25,5.357,5.169,5.355
2024-09-29,5.36,5.408,5.212,5.239
2024-10-06,5.235,5.408,5.211,5.408
2024-10-13,5.419,5.548,5.355,5.548
2024-10-20,5.511,5.699,5.43,5.581
2024-10-27,5.591,5.851,5.585,5.778
2024-11-03,5.778,6.032,5.745,5.963
2024-11-10,5.984,5.992,5.616,5.659
2024-11-17,5.525,5.8,5.525,5.695
2024-11-24,5.713,5.77,5.483,5.575
2024-12-01,5.546,5.67,5.474,5.516
2024-12-08,5.499,5.752,5.447,5.633
2024-12-15,5.624,5.801,5.576,5.8
2024-12-22,5.796,5.912,5.718,5.824
2024-12-29,5.852,5.903,5.748,5.891
2025-01-05,5.812,5.938,5.803,5.916
2025-01-12,5.883,6.057,5.883,6.031
2025-01-19,5.961,6.117,5.864,5.887
2025-01-26,5.882,5.989,5.814,5.916
2025-02-02,5.918,5.954,5.796,5.833
2025-02-09,5.822,5.881,5.738,5.801
2025-02-16,5.821,5.976,5.698,5.746
2025-02-23,5.757,5.903,5.714,5.885
2025-03-02,5.889,5.891,5.69,5.757
2025-03-09,5.751,5.979,5.733,5.964
2025-03-16,5.978,5.985,5.829,5.896
2025-03-23,5.865,5.906,5.723,5.831
2025-03-30,5.861,5.867,5.724,5.796
2025-04-06,5.766,5.769,5.125,5.294
2025-04-13,5.242,5.464,5.139,5.255
2025-04-20,5.227,5.291,5.137,5.137
2025-04-27,5.219,5.3,5.111,5.265
2025-05-04,5.279,5.302,5.152,5.237
2025-05-11,5.172,5.368,5.157,5.357
2025-05-18,5.387,5.454,5.323,5.44
2025-05-25,5.479,5.601,5.406,5.565
2025-06-01,5.568,5.595,5.362,5.387
