Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-08-04,84359.41,84637.14,81347.53,81648.83,124488090
2024-08-11,78503.17,80645.51,77412.12,79603.18,176443170
2024-08-18,80120.43,84690.74,80120.43,84690.74,99919357.145631
2024-08-25,84522.69,85185.39,83665.88,84158.33,116762359.99139
2024-09-01,84353.39,84939.15,83210.25,84868.25,142653518
2024-09-08,84700.77,86462.18,81702.68,81744.47,145484037.56083
2024-09-15,82219.95,82485.01,79873.94,82302.58,132564447
2024-09-22,82252.13,83528.38,81388.5,81759.71,197767976
2024-09-29,82066.75,85081.4,81026.91,84947.19,159843189
2024-10-06,84800.12,84920.65,81480.24,82010.86,135544752
2024-10-13,82494.28,83660.81,80921.23,83455.17,165336266
2024-10-20,83624.48,83943.14,81796.32,82650.04,157136596
2024-10-27,82556.01,83012.13,80264.95,80755.53,131071741
2024-11-03,81100.74,81934.18,79254.7,79550.32,116149665
2024-11-10,80055.95,82882.81,79781.54,82250.2,157988396
2024-11-17,82079.18,82118.9,79261.34,79330.68,168204496
2024-11-24,79441.59,79993.15,75857.56,79492.14,166819214
2024-12-01,80196.09,80232.92,78603.16,79369.82,151036071
2024-12-08,79718.33,83361.73,79627.15,82860.19,177082644
2024-12-15,83249.96,83336.32,81347.07,81632.73,175090599
2024-12-22,81752.43,81944.14,78734.65,79474.16,257553201
2024-12-29,79978.2,80270.15,79214.96,79842.52,60140752
2025-01-05,79684.39,81840.18,79389.41,81444.58,83943737.057692
2025-01-12,82453.96,82833.08,80929.66,82210.47,134510857
2025-01-19,81815.99,83801.69,80782.29,83676.42,166647456
2025-01-26,83971.46,86017.1,83676.7,85840.78,159873859
2025-02-02,84929.3,87646.08,84517.63,87367.57,161497571
2025-02-09,85669.86,89408.38,85440.94,89150.14,159791845
2025-02-16,89293.99,93007.43,89164.88,91788.05,221535488
2025-02-23,91677.17,95229.79,91471.76,93117.48,240764855
2025-03-02,93081.25,93599.78,91015.44,91996.4,267383829
2025-03-09,91894.23,93731.7,89280.31,93611.8,232190196
2025-03-16,93475.55,97291.57,91663.68,97045.24,248497750
2025-03-23,97300.36,99574.34,96192,96891.23,268575895
2025-03-30,97795.66,99657.53,97448.96,97819.39,204112161
2025-04-06,96887.7,98005.64,88833.46,89040,239263934
2025-04-13,85905.18,93403.2,83010.71,91120.04,277572103
2025-04-20,92893.81,95819.12,92610.24,95165.01,178741320
2025-04-27,95802.86,100704.46,95667.33,100156.88,228347437
2025-05-04,100475.48,101485.21,98337.69,101199.94,186349257
2025-05-11,100627.03,103367.94,97940.9,103247.39,214917546
2025-05-18,104172.06,105302.83,102571.41,103150.46,264559953
2025-05-25,101861.01,103178.54,98051.37,99925.61,256288157
2025-06-01,100923.79,104467.57,100478.06,101476.07,325030769.94139
